The last match Check6 Quit 16 11 5th January 2015
VatosLocos  1145.38 2
MiTH  1066.59 6
skillz.LV  1141.68 8
LowLandLions  1173.75 5
nEophyte  1168.53 5
clanHeat  1160.33 1
Planetkey  1178.83 55
G2  1488.97 199
Rhythm  1138.13 2
Braindead  1147.9 10
RCTIC  1300.46 53
HellRaisers.proStaff  1039.54 4
DWG  1059.33 4
EpiphanyBolt  1239.57 71
Nface  1168.77 1
Bosnia&Herzegovina  1122.03 5
Algeria  1188.19 5
India  1191.49 4
aimLess  1232.16 2
GfinityStaff  1200 0
Method  1222.11 177
RB  1086.93 21
Infused  1145.73 87
p@p@d@s  1313.99 5
MIXCAT  1418.27 25
GRS.GP  1057.35 8
EasyFix  1177.2 13
Spain  1262.46 15
FolloweSports  1278.56 175
ISKOLD  1184.82 17
LeiSuRe  1272.91 6
NewZealand  1064.64 8
3DMAX  1414.56 34
Montenegro  1140.56 2
HS.GG  1156.84 3
XENEX  1219 16
PlayingDucks  1101.98 78
CPLAY  1263.58 63
MnM  1128 2
Portugal  1324.1 11
Steelseries  1090.51 14
MiA  1056.01 13
Revival  1176.02 7
Infinity  1132.6 3
Reason  1285.08 153
Athletico  1210.34 4
KoNDenmark  1244.76 10
NiPStaff  1118.32 10
Hungary  1191.11 13
Enervate.A  1150.13 2
myXMG  1133.87 37
All-StarsEurope  1233.21 1
iBUYPOWER  1257.34 3
Cybersport.plStaff  1164.53 2
UNLEASHED  1144.37 11
fish123  1168.52 10
eaZyQuaL  1162.32 1
Russia  1385.51 16
fSociety  1292.04 5
N4K  1189.86 4
Indonesia  1160.95 10
TEAMSWAGYOLO  1138.86 48
Hitbox.tvStaff  1058.82 4
Airwalk  1072.91 4
NobleHonor  982.955 9
SneakyAssasins  1136.3 12
Backfire  1134.13 8
Malta  1139.76 2
pow  1196.02 4
Immersive  1115.83 3
pMd  1092.82 4
SouthAfrica  1011.87 5
KnockOutStars  1167.48 9
Propertyfe  1035.61 4
tryPANTS  1185.54 8
PENTA  1286.38 348
Temp.no  1188.54 2
Comeback  1219.37 4
AlienTech  1275.98 58
FnaticStaff  1186.41 15
ENCORE  1258.01 52
France  1486.5 19
Coast  1102.24 32
AsusROG  1148.44 4
ACG  1196.09 27
private  1143.07 4
Poland  1399.62 18
iNation  1324.89 46
Azerbaijan  1138.79 2
