The last match: YP eSuba 14 16 10th December 2015
  6.95033e-310 -1
1337  1393.2 40
MWNL  1189.03 7
GamesAcademy  1346.72 51
DENiED  1196.15 3
LGB  1328.63 203
Mastermind  1194.23 4
SkinsVault  1120.85 3
SYNRGY  1090.45 18
embrace  1325.17 10
FoxamoX  1115.58 2
BarelyPositive  1209 7
Dethrone  1167 3
VariousArtists  1068.13 7
Drake2003  1112.84 4
WRTP  1259.47 8
UnitedKingdom  1185.31 7
Kyrgyzstan  1201.7 10
exceL  1278.98 6
LDLCWhite  1286.01 129
EYESONU  1150.78 24
Play2Win  1120.66 10
eSpuma  1125.76 3
eSuba  1246.11 21
Trasgo.netStaff  1052.63 4
Handface  1122.61 4
LOSMOUCHACHOS  1177.34 2
ngomg!  1193.1 1
HLTV.orgStaff  1418.04 32
Georgia  1170.43 6
LGBfe  1006.27 29
BitterSweetGG  1114.37 2
NONAMERS  1095.87 2
GUS-Gaming  1118.84 3
Clan-MystikStaff  1074.31 4
ProjectSkyline  1054.33 6
WildSource  1229.73 6
Lions  1249.57 50
Quit  1066.71 9
GANK  1310.39 6
VingeN  1301.78 8
Crystallize  1115.67 2
USA  1219.97 12
TempoStorm  1276.88 103
Emc  1220.08 1
LPM  1116.54 2
Estonia  1186.96 3
gamENERGY  1242.46 9
Philippines  1201.78 2
Exertus  1256.36 11
Menace  1139.91 18
Tectonic  1266.04 10
RvN  1149.11 2
etoile  1193.13 2
GameShowStaff  1163.98 28
U-BOT  1164.5 1
Empath  1123.54 4
Paranoia  1069.54 7
AliGon  1234.17 31
UberNoobs  1163.75 3
Dobry&Gaming  1429.74 65
re:take  1103.91 4
OverGaming  1156.61 32
ICYPhoenix  1241.15 7
iDomina  984.603 10
SententiaMortis  1216.75 9
KDDA  1160.02 2
3v  1079.56 4
Quintic  1074.05 6
BlackRavens  1169.96 2
HanoiVortex  1145.07 2
TEAM.TDA  1256.69 5
KOWABUNGA  1159.95 1
99DMG-Juniorbots  1235.5 1
